食品群,食品番号,id,食品名
1,1001,1,アマランサス　玄穀　
1,1002,2,あわ　精白粒　
1,1003,3,あわ　あわもち　
1,1004,4,えんばく オートミール　
1,1005,5,おおむぎ 七分つき押麦　
1,1006,6,おおむぎ　押麦　
1,1007,7,おおむぎ　米粒麦　
1,1008,8,おおむぎ　大麦めん　乾　
1,1009,9,おおむぎ　大麦めん　ゆで　
1,1010,10,おおむぎ　麦こがし　
1,1011,11,きび　精白粒　　　
1,1012,12,こむぎ　［玄穀］　国産　普通　
1,1013,13,こむぎ　［玄穀］　輸入　軟質　
1,1014,14,こむぎ　［玄穀］　輸入　硬質　
1,1015,15,こむぎ　［小麦粉］　薄力粉　1等　
1,1016,16,こむぎ　［小麦粉］　薄力粉　2等　
1,1018,17,こむぎ　［小麦粉］　中力粉　1等　
1,1019,18,こむぎ　［小麦粉］　中力粉　2等　
1,1020,19,こむぎ　［小麦粉］　強力粉　1等　
1,1021,20,こむぎ　［小麦粉］　強力粉　2等　
1,1023,21,こむぎ　［小麦粉］　強力粉　全粒粉　
1,1146,22,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用　
1,1024,23,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用　
1,1147,24,こむぎ　［小麦粉］　プレミックス粉　から揚げ用　
1,1025,25,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　
1,1026,26,こむぎ　［パン類］　食パン　　
1,1028,27,こむぎ　［パン類］　コッペパン　　
1,1030,28,こむぎ　［パン類］　乾パン　　
1,1031,29,こむぎ　［パン類］　フランスパン　　
1,1032,30,こむぎ　［パン類］　ライ麦パン　　
1,1033,31,こむぎ　［パン類］　ぶどうパン　　
1,1034,32,こむぎ　［パン類］　ロールパン　　
1,1035,33,こむぎ　［パン類］　クロワッサン　　
1,1036,34,こむぎ　［パン類］　イングリッシュマフィン　　
1,1037,35,こむぎ　［パン類］　ナン　　
1,1148,36,こむぎ　［パン類］　ベーグル　　
1,1038,37,こむぎ　［うどん・そうめん類］　うどん　生　
1,1039,38,こむぎ　［うどん・そうめん類］　うどん　ゆで　
1,1041,39,こむぎ　［うどん・そうめん類］　干しうどん　乾　
1,1042,40,こむぎ　［うどん・そうめん類］　干しうどん　ゆで　
1,1043,41,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾　
1,1044,42,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで　
1,1045,43,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾　
1,1046,44,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで　
1,1047,45,こむぎ　［中華めん類］　中華めん　生　
1,1048,46,こむぎ　［中華めん類］　中華めん　ゆで　
1,1049,47,こむぎ　［中華めん類］　蒸し中華めん　　
1,1050,48,こむぎ　［中華めん類］　干し中華めん　乾　
1,1051,49,こむぎ　［中華めん類］　干し中華めん　ゆで　
1,1052,50,こむぎ　［中華めん類］　沖縄そば　生　
1,1053,51,こむぎ　［中華めん類］　沖縄そば　ゆで　
1,1054,52,こむぎ　［中華めん類］　干し沖縄そば　乾　
1,1055,53,こむぎ　［中華めん類］　干し沖縄そば　ゆで　
1,1056,54,こむぎ　［即席めん類］　即席中華めん　油揚げ味付け　
1,1057,55,こむぎ　［即席めん類］　即席中華めん　油揚げ　
1,1058,56,こむぎ　［即席めん類］　即席中華めん　非油揚げ　
1,1059,57,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　
1,1060,58,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　
1,1061,59,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　
1,1062,60,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　
1,1063,63,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾　
1,1064,64,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで　
1,1149,65,こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生　
1,1065,66,こむぎ　［ふ類］　生ふ　　
1,1066,67,こむぎ　［ふ類］　焼きふ　釜焼きふ　
1,1067,68,こむぎ　［ふ類］　焼きふ　板ふ　
1,1068,69,こむぎ　［ふ類］　焼きふ　車ふ　
1,1070,70,こむぎ　［その他］　小麦はいが　　
1,1071,71,こむぎ　［その他］　小麦たんぱく　粉末状　
1,1072,72,こむぎ　［その他］　小麦たんぱく　粒状　
1,1073,73,こむぎ　［その他］　小麦たんぱく　ペースト状　
1,1074,74,こむぎ　［その他］　ぎょうざの皮　　
1,1075,75,こむぎ　［その他］　しゅうまいの皮　　
1,1076,76,こむぎ　［その他］　ピザ生地　
1,1069,77,こむぎ　［その他］　ちくわぶ　　
1,1077,78,こむぎ　［その他］　パン粉　生　
1,1078,79,こむぎ　［その他］　パン粉　半生　
1,1079,80,こむぎ　［その他］　パン粉　乾燥　
1,1150,81,こむぎ　［その他］　冷めん　生　
1,1080,82,こめ　［水稲穀粒］　玄米　　
1,1081,83,こめ　［水稲穀粒］　半つき米　　
1,1082,84,こめ　［水稲穀粒］　七分つき米　　
1,1083,85,こめ　［水稲穀粒］　精白米　うるち米　
1,1151,86,こめ　［水稲穀粒］　精白米　もち米　
1,1152,87,こめ　［水稲穀粒］　精白米　インディカ米　
1,1084,88,こめ　［水稲穀粒］　はいが精米　　
1,1153,89,こめ　［水稲穀粒］　発芽玄米　　
1,1085,90,こめ　［水稲めし］　玄米　　
1,1086,91,こめ　［水稲めし］　半つき米　　
1,1087,92,こめ　［水稲めし］　七分つき米　　
1,1088,93,こめ　［水稲めし］　精白米　うるち米　
1,1154,94,こめ　［水稲めし］　精白米　もち米　
1,1089,95,こめ　［水稲めし］　はいが精米　　
1,1155,96,こめ　［水稲めし］　発芽玄米　　
1,1090,97,こめ　［水稲全かゆ］　玄米　　
1,1091,98,こめ　［水稲全かゆ］　半つき米　　
1,1092,99,こめ　［水稲全かゆ］　七分つき米　　
1,1093,100,こめ　［水稲全かゆ］　精白米　　
1,1094,101,こめ　［水稲五分かゆ］　玄米　　
1,1095,102,こめ　［水稲五分かゆ］　半つき米　　
1,1096,103,こめ　［水稲五分かゆ］　七分つき米　　
1,1097,104,こめ　［水稲五分かゆ］　精白米　　
1,1098,105,こめ　［水稲おもゆ］　玄米　　
1,1099,106,こめ　［水稲おもゆ］　半つき米　　
1,1100,107,こめ　［水稲おもゆ］　七分つき米　　
1,1101,108,こめ　［水稲おもゆ］　精白米　　
1,1102,109,こめ　［陸稲穀粒］　玄米　　
1,1103,110,こめ　［陸稲穀粒］　半つき米　　
1,1104,111,こめ　［陸稲穀粒］　七分つき米　　
1,1105,112,こめ　［陸稲穀粒］　精白米　　
1,1106,113,こめ　［陸稲めし］　玄米　　
1,1107,114,こめ　［陸稲めし］　半つき米　　
1,1108,115,こめ　［陸稲めし］　七分つき米　　
1,1109,116,こめ　［陸稲めし］　精白米　　
1,1110,117,こめ　［うるち米製品］　アルファ化米　一般用　
1,1156,118,こめ　［うるち米製品］　アルファ化米　学校給食用強化品　
1,1111,119,こめ　［うるち米製品］　おにぎり　　
1,1112,120,こめ　［うるち米製品］　焼きおにぎり　　
1,1113,121,こめ　［うるち米製品］　きりたんぽ　　
1,1114,122,こめ　［うるち米製品］　上新粉　　
1,1157,123,こめ　［うるち米製品］　玄米粉　　
1,1158,124,こめ　［うるち米製品］　米粉　　
1,1159,125,こめ　［うるち米製品］　米粉パン　　
1,1160,126,こめ　［うるち米製品］　米粉めん　　
1,1115,127,こめ　［うるち米製品］　ビーフン　　
1,1116,128,こめ　［うるち米製品］　米こうじ　　
1,1117,129,こめ　［もち米製品］　もち　　
1,1118,130,こめ　［もち米製品］　赤飯　　
1,1119,131,こめ　［もち米製品］　あくまき　　
1,1120,132,こめ　［もち米製品］　白玉粉　　
1,1121,133,こめ　［もち米製品］　道明寺粉　　
1,1161,134,こめ　［その他］　米ぬか　　
1,1122,135,そば　そば粉　全層粉　　
1,1123,136,そば　そば粉　内層粉　　
1,1124,137,そば　そば粉　中層粉　　
1,1125,138,そば　そば粉　表層粉　　
1,1126,139,そば　そば米　　　
1,1127,140,そば　そば　生　　
1,1128,141,そば　そば　ゆで　　
1,1129,142,そば　干しそば　乾　　
1,1130,143,そば　干しそば　ゆで　　
1,1131,144,とうもろこし　玄穀　黄色種　　
1,1162,145,とうもろこし　玄穀　白色種　　
1,1132,146,とうもろこし　コーンミール　黄色種　　
1,1163,147,とうもろこし　コーンミール　白色種　　
1,1133,148,とうもろこし　コーングリッツ　黄色種　　
1,1164,149,とうもろこし　コーングリッツ　白色種　　
1,1134,150,とうもろこし　コーンフラワー　黄色種　　
1,1165,151,とうもろこし　コーンフラワー　白色種　　
1,1135,152,とうもろこし　ジャイアントコーン　フライ　味付け　　
1,1136,153,とうもろこし　ポップコーン　　　
1,1137,154,とうもろこし　コーンフレーク　　　
1,1138,155,はとむぎ　精白粒　　　
1,1139,156,ひえ　精白粒　　　
1,1140,157,もろこし　玄穀　　　
1,1141,158,もろこし　精白粒　　　
1,1142,159,ライむぎ　全粒粉　　　
1,1143,160,ライむぎ　ライ麦粉　　　
1,1166,161,穀類混合品　五穀　
2,2001,162,＜いも類＞きくいも　塊茎　生　　　
2,2041,163,＜いも類＞きくいも　塊茎　水煮　　　
2,2002,164,＜いも類＞こんにゃく　精粉　　　
2,2003,165,＜いも類＞こんにゃく　板こんにゃく　精粉こんにゃく　　
2,2004,166,＜いも類＞こんにゃく　板こんにゃく　生いもこんにゃく　　
2,2042,167,＜いも類＞こんにゃく　赤こんにゃく　　　
2,2043,168,＜いも類＞こんにゃく　凍みこんにゃく　乾　　
2,2044,169,＜いも類＞こんにゃく　凍みこんにゃく　ゆで　　
2,2005,170,＜いも類＞こんにゃく　しらたき　　　
2,2006,171,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　生　　
2,2007,172,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　蒸し　　
2,2008,173,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　焼き　　
2,2045,174,＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　生　　
2,2046,175,＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　蒸し　　
2,2047,176,＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　天ぷら　　
2,2009,177,＜いも類＞（さつまいも類）さつまいも　蒸し切干　　　
2,2048,178,＜いも類＞（さつまいも類）むらさきいも　塊根　皮むき　生　　
2,2049,179,＜いも類＞（さつまいも類）むらさきいも　塊根　皮むき　蒸し　　
2,2010,180,＜いも類＞（さといも類）　さといも　球茎　生　　
2,2011,181,＜いも類＞（さといも類）　さといも　球茎　水煮　　
2,2012,182,＜いも類＞（さといも類）　さといも　球茎　冷凍　　
2,2050,183,＜いも類＞（さといも類）　セレベス　球茎　生　　
2,2051,184,＜いも類＞（さといも類）　セレベス　球茎　水煮　　
2,2052,185,＜いも類＞（さといも類）　たけのこいも　球茎　生　　
2,2053,186,＜いも類＞（さといも類）　たけのこいも　球茎　水煮　　
2,2013,187,＜いも類＞（さといも類）　みずいも　球茎　生　　
2,2014,188,＜いも類＞（さといも類）　みずいも　球茎　水煮　　
2,2015,189,＜いも類＞（さといも類）　やつがしら　球茎　生　　
2,2016,190,＜いも類＞（さといも類）　やつがしら　球茎　水煮　　
2,2017,191,＜いも類＞じゃがいも　塊茎　生　　　
2,2018,192,＜いも類＞じゃがいも　塊茎　蒸し　　　
2,2019,193,＜いも類＞じゃがいも　塊茎　水煮　　　
2,2020,194,＜いも類＞じゃがいも　フライドポテト　　　
2,2021,195,＜いも類＞じゃがいも　乾燥マッシュポテト　　　
2,2054,196,＜いも類＞ヤーコン　塊根　生　　　
2,2055,197,＜いも類＞ヤーコン　塊根　水煮　　　
2,2022,198,＜いも類＞（やまのいも類）　ながいも　いちょういも　塊根　生　
2,2023,199,＜いも類＞（やまのいも類）　ながいも　ながいも　塊根　生　
2,2024,200,＜いも類＞（やまのいも類）　ながいも　ながいも　塊根　水煮　
2,2025,201,＜いも類＞（やまのいも類）　ながいも　やまといも　塊根　生　
2,2026,202,＜いも類＞（やまのいも類）　じねんじょ　塊根　生　　
2,2027,203,＜いも類＞（やまのいも類）　だいじょ　塊根　生　　
2,2028,204,＜でん粉・でん粉製品＞（でん粉類）　キャッサバでん粉　　　
2,2029,205,＜でん粉・でん粉製品＞（でん粉類）　くずでん粉　　　
2,2030,206,＜でん粉・でん粉製品＞（でん粉類）　米でん粉　　　
2,2031,207,＜でん粉・でん粉製品＞（でん粉類）　小麦でん粉　　　
2,2032,208,＜でん粉・でん粉製品＞（でん粉類）　サゴでん粉　　　
2,2033,209,＜でん粉・でん粉製品＞（でん粉類）　さつまいもでん粉　　　
2,2034,210,＜でん粉・でん粉製品＞（でん粉類）　じゃがいもでん粉　　　
2,2035,211,＜でん粉・でん粉製品＞（でん粉類）　とうもろこしでん粉　　　
2,2036,212,＜でん粉・でん粉製品＞（でん粉製品）　くずきり　乾　　
2,2037,213,＜でん粉・でん粉製品＞（でん粉製品）　くずきり　ゆで　　
2,2056,214,＜でん粉・でん粉製品＞（でん粉製品）　ごま豆腐　　　
2,2038,215,＜でん粉・でん粉製品＞（でん粉製品）　タピオカパール　乾　　
2,2057,216,＜でん粉・でん粉製品＞（でん粉製品）　タピオカパール　ゆで　　
2,2058,217,＜でん粉・でん粉製品＞（でん粉製品）　でん粉めん　生　　
2,2059,218,＜でん粉・でん粉製品＞（でん粉製品）　でん粉めん　乾　　
2,2060,219,＜でん粉・でん粉製品＞（でん粉製品）　でん粉めん　乾　ゆで　　
2,2039,220,＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　緑豆はるさめ　乾　
2,2061,221,＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　緑豆はるさめ　ゆで　
2,2040,222,＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　普通はるさめ　乾　
2,2062,223,＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　普通はるさめ　ゆで　
3,3001,224,（砂糖類）　黒砂糖　　　
